CTY,power_cord
Abu Dhabi,PN-13530 -EU
Afghanistan,PN-12472 - INDIA
Algeria,PN-13530 -EU
American Samoa,PN-12375 - AUS
Angola,PN-13530 -EU
Anguilla,PN-13531 - UK
Antigua,PN-13531 - UK
Argentina,PN-12375 - AUS
Aruba,PN-13530 -EU
Australia,PN-12375 - AUSSous
Austria,PN-13530 -EU
Azores,PN-12472 - INDIA
Bahamas,PN-11459 - USA
Bahrain,PN-13531 - UK
Bangladesh,PN-12472 - INDIA
Barbados,PN-11459 - USA
Belarus,PN-13530 -EU
Belgium,PN-13530 -EU
Belize,PN-11459 - USA
Benin,PN-12472 - INDIA
Bermuda,PN-13531 - UK
Bolivia,PN-13530 -EU
Bosnia,PN-13530 -EU
Botswana,PN-13531 - UK
Brazil,PN-17656 - BR  Rad G Plug: PN-19511
Brunei,PN-13530 -EU
Bulgaria,PN-13530 -EU
Burma,PN-13531 - UK
Burundi,PN-13530 -EU
Cameroon,PN-13530 -EU
Canada,PN-11459 - USA
Canary Islands,PN-13530 -EU
Cape Verde,PN-13530 -EU
Cayman Islands,PN-11459 - USA
Central African Republic,PN-13530 -EU
Chad,PN-13530 -EU
Channel Islands (Guernsey & Jersey),PN-13531 - UK
Chile,PN-13530 -EU
"China, People's Republic of",PN-12375 - AUS
Christmas Island,PN-12375 - AUS
Cocos Islands,PN-12375 - AUS
Colombia,PN-11459 - USA
Congo,PN-13530 -EU
Cook Islands,PN-12375 - AUS
Costa Rica,PN-11459 - USA
Côte d'Ivoire (Ivory Coast),PN-13530 -EU
Croatia,PN-13530 -EU
Cuba,PN-13530 -EU
Curaco,PN-13530 -EU
Cyprus,PN-13531 - UK
Czech Republic,PN-13530 -EU
Denmark,PN-13530 -EU
Djibouti,PN-13530 -EU
Dominica,PN-13531 - UK
Dominican Republic,PN-11459 - USA
Dubai,PN-13530 -EU
Ecuador,PN-11459 - USA
Egypt,PN-13530 -EU
El Salvador,PN-11459 - USA
England,PN-13531 - UK
Estonia,PN-13530 -EU
Ethiopia,PN-13530 -EU
Fiji,PN-12375 - AUS
Finland,PN-13530 -EU
France,PN-13530 -EU
French Guyana,PN-13530 -EU
